method,n,prevalence,TP,TN,FP,FN,Sens,Spec,PPV,NPV,Acc,BalAcc,F1,MCC,Kappa,AUROC,AUPRC
canonical,1010,0.5228,516,391,91,12,0.9772727272727273,0.8112033195020747,0.8500823723228995,0.9702233250620348,0.898019801980198,0.894238023387401,0.9092511013215859,0.8042334197364096,0.7941459321906451,0.9631644505218157,0.9474542554150771
single,1010,0.5228,519,371,111,9,0.9829545454545454,0.7697095435684648,0.8238095238095238,0.9763157894736842,0.8811881188118812,0.876332044511505,0.8963730569948186,0.776031951678896,0.7596668649613326,0.9590190022632968,0.9421449484421878
multi_raw,1010,0.5228,519,398,84,9,0.9829545454545454,0.8257261410788381,0.8606965174129353,0.9778869778869779,0.907920792079208,0.9043403432666918,0.9177718832891246,0.8234963732128383,0.8141994136985652,0.9721783446498177,0.973121834326922
